110192929,-0.05,0.38,1.992345,999,999,999,999,1.68,9.44,2,0.04,3.23,2,0.39,4.64,2,999,999,0,999,999,0,999,999,0,None,LeftArrow,True
110192930,-0.05,0.23,2.992345,999,999,999,999,1.95,9.46,3,0.28,9.40,2,0.54,9.21,2,1.55,9.11,2,999,999,0,999,999,0,None,None,True
110192930,-0.05,0.23,3.992345,999,999,999,999,-1.25,9.08,2,-1.47,9.15,2,1.87,9.13,3,0.25,9.08,2,0.48,8.70,2,1.44,8.76,2,UpArrow,None,True
110192930,-0.05,1.48,3.992345,999,999,999,999,2.32,9.48,3,-1.23,8.55,2,-1.49,8.79,2,1.77,8.84,3,0.37,8.22,2,1.37,8.43,2,UpArrow,None,False
110192930,0.54,2.58,3.992345,999,999,999,999,2.29,9.30,3,-1.13,7.99,2,-1.53,8.42,2,1.64,8.53,3,0.22,7.73,1,1.34,8.06,2,UpArrow,RightArrow,False
110192931,0.89,3.03,4.992345,999,999,999,999,2.28,9.13,3,-0.98,7.48,2,-1.57,8.06,2,1.52,8.24,3,0.08,7.26,1,1.36,7.72,2,UpArrow,RightArrow,True
110192931,1.48,2.95,5.992345,999,999,999,999,2.29,8.95,3,-0.78,6.96,2,-1.58,7.69,2,1.42,7.92,2,-0.03,6.76,1,1.41,7.35,2,None,RightArrow,True
110192931,1.48,2.78,7.992345,999,999,999,999,2.29,8.77,3,-0.57,6.43,2,-1.54,7.31,2,1.35,7.60,1,-0.06,6.24,1,1.46,6.99,2,None,None,True
110192931,0.64,2.78,7.992345,999,999,999,999,2.16,9.30,2,0.74,9.21,2,2.29,8.60,3,-0.42,5.92,2,-1.45,6.97,2,-0.01,5.76,1,None,LeftArrow,False
110192932,-0.45,2.19,7.992345,999,999,999,999,2.16,8.83,2,0.80,8.75,2,2.27,8.42,3,-0.33,5.37,2,-1.31,6.61,2,0.13,5.26,1,DownArrow,LeftArrow,False
110192932,0.22,1.61,9.992345,999,999,999,999,2.18,8.39,2,0.87,8.31,2,2.22,8.26,3,-0.34,4.84,1,-1.16,6.29,2,0.29,4.80,1,DownArrow,RightArrow,True
110192932,0.56,0.42,10.99234,999,999,999,999,2.20,7.93,2,0.95,7.86,2,2.16,8.09,3,-0.46,4.29,1,-1.01,5.95,2,999,999,0,DownArrow,RightArrow,True
110192933,-0.02,0.34,11.99234,999,999,999,999,2.19,7.49,2,0.99,7.42,2,2.08,7.93,3,-0.63,3.79,1,-0.88,5.62,2,999,999,0,None,LeftArrow,True
110192933,-1.03,0.34,12.99234,999,999,999,999,2.11,7.03,2,0.98,6.95,2,2.01,7.77,3,-0.83,3.26,1,-0.81,5.25,2,999,999,0,None,LeftArrow,True
110192933,-1.03,-0.08,13.99234,999,999,999,999,1.98,6.61,2,0.89,6.53,2,1.94,7.61,3,-0.81,4.89,2,999,999,0,999,999,0,DownArrow,None,True
110192933,-0.51,0.28,13.99234,999,999,999,999,1.79,6.19,2,0.75,6.08,2,1.89,7.44,3,999,999,0,999,999,0,999,999,0,UpArrow,RightArrow,False
110192934,-0.33,0.61,14.99234,999,999,999,999,0.93,9.50,2,1.56,5.78,2,0.56,5.65,2,1.86,7.26,3,999,999,0,999,999,0,UpArrow,RightArrow,True
110192934,0.68,0.61,14.99234,999,999,999,999,1.15,9.24,2,-1.86,9.10,2,0.96,9.10,2,1.35,5.39,2,0.39,5.25,2,1.86,7.09,3,None,RightArrow,False
110192934,0.44,1.16,15.99234,999,999,999,999,1.02,8.78,2,-1.65,8.58,2,1.03,8.67,2,1.16,4.97,2,0.25,4.81,2,1.87,6.91,3,UpArrow,LeftArrow,True
110192934,0.44,1.08,16.99234,999,999,999,999,2.46,9.45,3,0.95,8.33,2,-1.45,8.10,2,1.09,8.27,2,0.19,4.38,2,1.89,6.74,3,None,None,True
110192935,-0.06,0.99,17.99234,999,999,999,999,2.02,9.11,2,2.44,9.31,3,0.94,7.85,2,-1.27,7.57,2,1.13,7.85,2,1.90,6.56,3,None,LeftArrow,True
110192935,-0.06,0.99,18.99234,999,999,999,999,1.97,8.57,2,2.43,9.17,3,0.98,7.39,2,-1.14,7.06,2,1.13,7.44,2,1.88,6.40,3,None,None,True
110192935,0.58,1.73,18.99234,999,999,999,999,1.84,8.01,2,2.44,9.03,3,1.07,6.92,2,-1.10,6.50,2,1.06,7.02,2,1.83,6.22,3,UpArrow,RightArrow,False
