-0.91,-4.00,0.71,-0.24,-1.74,-1.83,1.76,0.23,-0.49,2.95,LeftArrow
0.22,-4.00,0.71,-1.30,1.76,-1.89,-0.49,0.83,-2.24,5.07,RightArrow
0.94,-4.00,0.71,-2.33,-0.49,-1.23,-2.24,3.02,1.02,5.54,LeftArrow
-0.56,-4.00,-2.24,0.91,1.02,3.43,-1.78,5.47,999,999,Space
-2.53,-4.00,-2.24,-1.14,1.02,1.37,-1.78,3.42,-1.40,5.73,RightArrow
0.03,-4.00,1.02,-0.68,-1.78,1.36,-1.40,4.71,-2.02,5.73,RightArrow
-0.91,-4.00,-1.78,-0.76,-1.40,3.65,-2.02,4.67,-2.79,5.40,LeftArrow
-1.19,-4.00,-1.40,2.61,-2.02,3.64,-2.79,3.33,-1.51,5.34,Space
-2.65,-4.00,-2.02,2.61,-2.79,1.27,-1.51,3.28,-0.50,5.93,Space
-2.60,-4.00,-2.02,1.55,-1.51,1.16,-0.50,3.81,0.68,5.87,Space
-1.81,-4.00,-1.51,-0.89,-0.50,1.76,0.68,3.81,-2.97,5.87,LeftArrow
-0.70,-4.00,-0.50,-0.34,0.68,1.71,-2.97,3.77,-0.86,5.80,RightArrow
0.17,-4.00,0.68,-0.34,-2.97,1.71,-0.86,3.75,0.97,5.80,RightArrow
-0.77,-4.00,-2.97,-0.35,-0.86,1.69,0.97,3.74,0.28,5.90,LeftArrow
-2.59,-4.00,-2.97,-2.47,-0.86,-0.44,0.97,1.62,0.28,4.84,RightArrow
-0.73,-4.00,0.97,-0.44,0.28,3.81,1.48,5.04,999,999,RightArrow
0.74,-4.00,0.28,2.78,1.48,4.01,-0.53,4.08,999,999,Space
0.24,-4.00,0.28,1.72,1.48,2.95,-0.53,1.95,0.78,4.01,LeftArrow
-0.36,-4.00,1.48,1.92,0.78,1.95,1.01,4.67,999,999,RightArrow
1.16,-4.00,1.48,0.86,0.78,-0.16,1.01,2.56,2.84,4.61,RightArrow
1.63,-4.00,1.48,-0.15,1.01,0.53,2.84,2.58,0.72,4.64,LeftArrow
2.11,-4.00,1.01,-1.60,2.84,0.45,0.72,2.51,-1.38,5.44,RightArrow
2.06,-4.00,2.84,-1.60,0.72,0.45,-1.38,4.41,-0.46,5.44,LeftArrow
0.82,-4.00,0.72,-1.60,-1.38,3.38,-0.46,4.41,-0.66,5.44,LeftArrow
-1.87,-4.00,-1.38,2.35,-0.46,3.38,-0.66,4.41,2.31,5.43,RightArrow
0.22,-4.00,-1.38,1.30,-0.46,2.32,-0.66,3.35,2.31,4.38,None
-0.89,-4.00,-0.46,1.27,-0.66,2.29,2.31,3.32,2.00,5.93,RightArrow
-1.02,-4.00,-0.66,1.27,2.31,2.29,2.00,4.91,2.47,5.87,RightArrow
1.11,-4.00,-0.66,0.24,2.31,1.27,2.00,3.88,2.47,3.81,RightArrow
1.72,-4.00,2.31,0.20,2.00,2.82,2.47,1.68,-2.26,5.17,LeftArrow
2.27,-4.00,2.00,1.79,2.47,-0.37,-2.26,4.14,0.89,5.67,None
2.10,-4.00,2.00,0.79,-2.26,3.14,0.89,3.67,2.23,5.73,None
2.02,-4.00,-2.26,2.11,0.89,1.62,2.23,3.68,-0.48,5.87,LeftArrow
-0.04,-4.00,-2.26,1.05,0.89,-0.50,-0.48,4.81,-2.86,5.67,None
1.03,-4.00,-2.26,0.03,-0.48,3.78,-2.86,3.62,0.39,5.67,LeftArrow
-1.68,-4.00,-2.26,-1.03,-0.48,2.73,-2.86,1.51,0.39,3.56,LeftArrow
-3.00,-4.00,-2.26,-2.05,-0.48,1.70,-2.86,-0.54,0.39,1.51,None
-2.48,-4.00,-0.48,0.64,0.39,-0.61,-2.68,5.24,999,999,RightArrow
0.26,-4.00,-0.48,-0.39,-2.68,4.21,2.05,4.48,999,999,None
-0.27,-4.00,-0.48,-1.42,-2.68,3.18,2.05,2.41,2.26,4.47,None
0.69,-4.00,-2.68,2.14,2.05,0.33,2.26,2.39,2.79,4.67,RightArrow
2.64,-4.00,-2.68,1.08,2.26,0.27,2.79,2.56,1.30,5.93,Space
2.64,-4.00,-2.68,0.07,2.79,0.53,1.30,3.91,-1.88,5.93,Space
2.19,-4.00,-2.68,-0.99,1.30,1.79,-1.88,3.81,0.04,5.87,LeftArrow
-0.78,-4.00,-2.68,-2.02,-1.88,1.76,0.04,3.81,2.65,5.93,LeftArrow
-2.18,-4.00,-2.68,-3.08,-1.88,-0.36,0.04,1.69,2.65,3.81,Space
-1.79,-4.00,-1.88,-2.42,0.04,-0.36,2.65,1.76,2.37,4.81,RightArrow
0.98,-4.00,0.04,-2.43,2.65,-0.31,2.37,2.74,-0.97,4.80,None
2.22,-4.00,0.04,-4.49,2.65,-2.37,2.37,0.68,-0.97,2.73,None
-0.33,-4.00,-0.85,6.00,999,999,999,999,999,999,None
-0.49,-4.00,-0.85,3.98,-0.48,6.00,999,999,999,999,LeftArrow
-0.62,-4.00,-0.85,1.86,-0.48,4.94,0.60,5.93,999,999,Space
-0.62,-4.00,-0.48,3.90,0.60,3.86,-1.44,5.93,999,999,Space
0.46,-4.00,0.60,1.80,-1.44,4.91,2.08,5.87,999,999,None
-0.55,-4.00,-1.44,3.86,2.08,3.78,2.46,5.90,999,999,LeftArrow
-1.19,-4.00,-1.44,2.80,2.08,1.66,2.46,4.84,0.90,5.87,RightArrow
1.86,-4.00,2.08,-0.39,2.46,3.81,0.90,4.84,0.92,5.73,None
2.01,-4.00,2.46,2.78,0.90,3.81,0.92,3.67,-2.13,5.73,None
2.01,-4.00,2.46,1.72,0.90,2.75,0.92,1.55,-2.13,3.61,None
0.97,-4.00,0.90,1.71,-2.13,1.53,0.39,4.87,999,999,None
0.70,-4.00,0.90,0.68,-2.13,-0.52,0.39,2.82,1.13,4.87,LeftArrow
-2.14,-4.00,-2.13,-2.58,0.39,0.77,1.13,2.82,1.31,4.87,None
-0.23,-4.00,0.39,-1.36,1.13,0.69,1.31,2.74,2.50,4.81,Space
0.69,-4.00,1.13,-1.37,1.31,0.68,2.50,2.75,0.21,5.01,None
1.09,-4.00,1.31,-1.37,2.50,0.69,0.21,2.95,1.65,5.00,RightArrow
2.48,-4.00,2.50,-1.43,0.21,0.83,1.65,2.88,-2.97,4.94,LeftArrow
-0.01,-4.00,0.21,-1.23,1.65,0.82,-2.97,2.88,2.56,4.94,RightArrow
1.31,-4.00,1.65,-1.24,-2.97,0.82,2.56,2.88,0.72,4.93,LeftArrow
-1.31,-4.00,-2.97,-1.24,2.56,0.82,0.72,2.88,1.55,5.47,LeftArrow
-1.98,-4.00,2.56,-1.32,0.72,0.74,1.55,4.40,2.94,5.54,RightArrow
1.09,-4.00,2.56,-3.37,0.72,-1.32,1.55,3.37,2.94,3.48,RightArrow
1.05,-4.00,1.55,2.34,2.94,1.43,-2.70,5.27,999,999,LeftArrow
1.79,-4.00,1.55,1.28,2.94,-0.70,-2.70,3.15,-2.30,5.60,RightArrow
2.73,-4.00,1.55,0.24,-2.70,1.07,-2.30,4.56,0.88,5.67,LeftArrow
-0.13,-4.00,-2.70,-0.98,-2.30,3.54,0.88,4.64,-0.05,5.74,LeftArrow
-2.66,-4.00,-2.70,-3.04,-2.30,2.51,0.88,3.61,-0.05,3.68,RightArrow
-2.45,-4.00,-2.30,1.44,0.88,2.54,-0.05,1.54,-0.39,4.27,RightArrow
-0.31,-4.00,0.88,1.51,-0.05,-0.52,-0.39,2.22,-0.03,5.93,RightArrow
0.00,-4.00,0.88,0.48,-0.39,0.16,-0.03,4.90,-0.64,5.87,None
0.29,-4.00,0.88,-0.58,-0.03,3.84,-0.64,3.75,-0.67,5.80,Space
0.77,-4.00,-0.03,2.82,-0.64,1.70,-0.67,3.75,-1.36,5.87,LeftArrow
-0.91,-4.00,-0.03,1.79,-0.67,1.70,-1.36,3.81,-2.63,5.87,None
-0.91,-4.00,-0.03,0.73,-1.36,1.69,-2.63,3.75,2.47,5.80,Space
-0.37,-4.00,-1.36,-0.37,-2.63,1.68,2.47,3.74,-0.49,5.80,LeftArrow
-2.86,-4.00,-2.63,-0.38,2.47,1.67,-0.49,3.74,2.17,5.80,LeftArrow
